current_parent_name,pen_total,num_recs,rank,ownership,curr_ticker,curr_cik,curr_ISIN,hq_country,hq_state,industry,major_industry,viol_parent_url,sub_parent_url
Leonardo S.p.A.,14910989,13,1025,publicly traded,,,IT0003856405,Italy,,aerospace & military contracting,aerospace and military contracting,https://violationtracker.goodjobsfirst.org/parent/leonardo-spa,https://subsidytracker.goodjobsfirst.org/parent/leonardo-spa
Leprino Foods,1392930,27,1920,privately held,,,,USA,Colorado,food products,food products,https://violationtracker.goodjobsfirst.org/parent/leprino-foods,https://subsidytracker.goodjobsfirst.org/parent/leprino-foods
Les Schwab Tire Centers,2137587,14,1751,privately held,,,,USA,Oregon,retail-automobile tires,retailing,https://violationtracker.goodjobsfirst.org/parent/les-schwab-tire-centers,https://subsidytracker.goodjobsfirst.org/parent/les-schwab-tire-centers
Levi Strauss,1076889,6,2016,publicly traded,LEVI,94845,US52736R1023,USA,California,apparel,apparel,https://violationtracker.goodjobsfirst.org/parent/levi-strauss,https://subsidytracker.goodjobsfirst.org/parent/levi-strauss
Lexington Medical Center,17099447,2,973,non-profit,,,,USA,South Carolina,hospitals,healthcare services,https://violationtracker.goodjobsfirst.org/parent/lexington-medical-center,
Lexmark International,18000,1,3066,privately held,,,,USA,Kentucky,computer peripherals,electrical and electronic equipment,https://violationtracker.goodjobsfirst.org/parent/lexmark-international,https://subsidytracker.goodjobsfirst.org/parent/lexmark-international
LG,883236664,31,109,publicly traded,,,KR7066570003,South Korea,,diversified,diversified,https://violationtracker.goodjobsfirst.org/parent/lg,https://subsidytracker.goodjobsfirst.org/parent/lg
LHC Group,65101501,6,568,publicly traded,LHCG,1303313,US50187A1079,USA,Louisiana,healthcare services,healthcare services,https://violationtracker.goodjobsfirst.org/parent/lhc-group,https://subsidytracker.goodjobsfirst.org/parent/lhc-group
Lhoist Group,2531765,153,1696,privately held,,,,Belgium,,minerals,mining and minerals,https://violationtracker.goodjobsfirst.org/parent/lhoist-group,https://subsidytracker.goodjobsfirst.org/parent/lhoist-group
Libbey,130289,7,2738,privately held,,,,USA,Ohio,glass products,miscellaneous manufacturing,https://violationtracker.goodjobsfirst.org/parent/libbey,https://subsidytracker.goodjobsfirst.org/parent/libbey
Liberty Broadband,4576075,4,1457,publicly traded,LBRDA,1611983,US5303071071,USA,Colorado,telecommunications,telecommunications,https://violationtracker.goodjobsfirst.org/parent/liberty-broadband,
Liberty Media,5097350,2,1422,publicly traded,FWONA,1560385,US5312298707,USA,Colorado,media,media,https://violationtracker.goodjobsfirst.org/parent/liberty-media,https://subsidytracker.goodjobsfirst.org/parent/liberty-media
Liberty Mutual Insurance,49346158,167,636,mutual,,,,USA,Massachusetts,insurance,financial services,https://violationtracker.goodjobsfirst.org/parent/liberty-mutual-insurance,https://subsidytracker.goodjobsfirst.org/parent/liberty-mutual-insurance
Liebherr,9800,1,3122,privately held,,,,Switzerland,,construction equipment,heavy equipment,https://violationtracker.goodjobsfirst.org/parent/liebherr,https://subsidytracker.goodjobsfirst.org/parent/liebherr
Lieze Associates,659210,4,2213,privately held,,,,USA,New Jersey,recycling,waste management and environmental services,https://violationtracker.goodjobsfirst.org/parent/lieze-associates,
Lifan Group,643000,3,2223,privately held,,,,China,,motor vehicles,motor vehicles,https://violationtracker.goodjobsfirst.org/parent/lifan-group,
Life Care Centers of America,149833963,108,372,privately held,,,,USA,Tennessee,skilled nursing facilities,healthcare services,https://violationtracker.goodjobsfirst.org/parent/life-care-centers-of-america,
Lifespan Corporation,6590962,9,1311,non-profit,,,,USA,Rhode Island,hospitals,healthcare services,https://violationtracker.goodjobsfirst.org/parent/lifespan-corporation,
Light & Wonder Inc.,24977,3,3026,publicly traded,LNW,750004,US80874P1093,USA,Nevada,gambling systems,entertainment,https://violationtracker.goodjobsfirst.org/parent/light-and-wonder-inc,https://subsidytracker.goodjobsfirst.org/parent/scientific-games-corp
Lignetics,463683,19,2352,privately held,,,,USA,Colorado,biomass fuels,miscellaneous energy products and systems,https://violationtracker.goodjobsfirst.org/parent/lignetics,https://subsidytracker.goodjobsfirst.org/parent/lignetics
Lincoln Electric Holdings,1688115,15,1840,publicly traded,LECO,59527,US5339001068,USA,Ohio,industrial equipment,industrial equipment,https://violationtracker.goodjobsfirst.org/parent/lincoln-electric-holdings,https://subsidytracker.goodjobsfirst.org/parent/lincoln-electric-holdings
Lincoln National,71117109,36,546,publicly traded,LNC,59558,US5341871094,USA,Pennsylvania,financial services,financial services,https://violationtracker.goodjobsfirst.org/parent/lincoln-national,https://subsidytracker.goodjobsfirst.org/parent/lincoln-national
Linde,56480486,116,607,publicly traded,NYSE: LIN,1707925,DE0006483001,United Kingdom,,industrial gas,industrial services,https://violationtracker.goodjobsfirst.org/parent/linde,https://subsidytracker.goodjobsfirst.org/parent/linde
Linder Oil,835000,6,2112,privately held,,,,USA,Louisiana,oil & gas,oil and gas,https://violationtracker.goodjobsfirst.org/parent/linder-oil,
Lindsay Goldberg,1424218,62,1913,privately held,,,,USA,New York,private equity (including portfolio companies),private equity (including portfolio companies),https://violationtracker.goodjobsfirst.org/parent/lindsay-goldberg,https://subsidytracker.goodjobsfirst.org/parent/lindsay-goldberg
Lindt & Sprungli,4823969,22,1444,publicly traded,,,CH0010570759,Switzerland,,food products,food products,https://violationtracker.goodjobsfirst.org/parent/lindt-and-sprungli,https://subsidytracker.goodjobsfirst.org/parent/lindt-and-sprungli
Lineage Logistics,4379476,60,1472,privately held,,,,USA,California,logistics,freight and logistics,https://violationtracker.goodjobsfirst.org/parent/lineage-logistics,https://subsidytracker.goodjobsfirst.org/parent/lineage-logistics
Lion Elastomers,345603,13,2454,privately held,,,,USA,Louisiana,synthetic rubber,chemicals,https://violationtracker.goodjobsfirst.org/parent/lion-elastomers,https://subsidytracker.goodjobsfirst.org/parent/lion-elastomers
Lions Gate Entertainment,8853752,3,1209,publicly traded,LGF,929351,CA5359194019,USA,California,entertainment,entertainment,https://violationtracker.goodjobsfirst.org/parent/lions-gate-entertainment,https://subsidytracker.goodjobsfirst.org/parent/lions-gate-entertainment
Lipari Energy,230759,18,2576,privately held,,,,USA,Kentucky,coal mining,mining and minerals,https://violationtracker.goodjobsfirst.org/parent/lipari-energy,
Liquidity Services Inc.,27351,1,3012,publicly traded,LQDT,1235468,US53635B1070,USA,District of Columbia,online marketplace,miscellaneous services,https://violationtracker.goodjobsfirst.org/parent/liquidity-services-inc,https://subsidytracker.goodjobsfirst.org/parent/liquidity-services-inc
Lithia Motors,8254819,25,1231,publicly traded,LAD,1023128,US5367971034,USA,Oregon,retail-automotive,retailing,https://violationtracker.goodjobsfirst.org/parent/lithia-motors,https://subsidytracker.goodjobsfirst.org/parent/lithia-motors
Littelfuse Inc.,406100,3,2400,publicly traded,LFUS,889331,US5370081045,USA,Illinois,circuit protection products,electrical and electronic equipment,https://violationtracker.goodjobsfirst.org/parent/littelfuse-inc,https://subsidytracker.goodjobsfirst.org/parent/littelfuse-inc
Littlejohn & Co.,2075983,51,1765,privately held,,,,USA,Connecticut,private equity (including portfolio companies),private equity (including portfolio companies),https://violationtracker.goodjobsfirst.org/parent/littlejohn-and-co,https://subsidytracker.goodjobsfirst.org/parent/littlejohn-and-co
Live Nation Entertainment,83563710,18,509,publicly traded,LYV,1335258,US5380341090,USA,California,entertainment,entertainment,https://violationtracker.goodjobsfirst.org/parent/live-nation-entertainment,https://subsidytracker.goodjobsfirst.org/parent/live-nation-entertainment
LKQ,4305539,52,1475,publicly traded,LKQ,1065696,US5018892084,USA,Illinois,wholesalers-auto parts,wholesalers,https://violationtracker.goodjobsfirst.org/parent/lkq,https://subsidytracker.goodjobsfirst.org/parent/lkq
LL Flooring Holdings,126386740,11,405,publicly traded,LL,1396033,US55003T1079,USA,Virginia,flooring,housewares and home furnishings,https://violationtracker.goodjobsfirst.org/parent/ll-flooring-holdings,https://subsidytracker.goodjobsfirst.org/parent/lumber-liquidators-inc
Lloyd Industries,1469755,8,1901,privately held,,,,USA,Pennsylvania,fire safety products,miscellaneous manufacturing,https://violationtracker.goodjobsfirst.org/parent/lloyd-industries,https://subsidytracker.goodjobsfirst.org/parent/lloyd-industries
Lloyds Banking Group,541000000,4,172,publicly traded,LSE: LLOY,,GB0008706128,United Kingdom,,banking,financial services,https://violationtracker.goodjobsfirst.org/parent/lloyds-banking-group,https://subsidytracker.goodjobsfirst.org/parent/lloyds-banking-group
Lockheed Martin,234148721,96,286,publicly traded,LMT,936468,US5398301094,USA,Maryland,aerospace & military contracting,aerospace and military contracting,https://violationtracker.goodjobsfirst.org/parent/lockheed-martin,https://subsidytracker.goodjobsfirst.org/parent/lockheed-martin
Loews Corp.,71688710,106,544,publicly traded,L,60086,US5404241086,USA,New York,diversified,diversified,https://violationtracker.goodjobsfirst.org/parent/loews-corp,https://subsidytracker.goodjobsfirst.org/parent/loews-corp
Logan Health,24107697,4,848,non-profit,,,,USA,Montana,hospitals,healthcare services,https://violationtracker.goodjobsfirst.org/parent/logan-health,
